dsCode,factorTable,factorValueColumn
COM_DTGMP,pData.commodityValues,value
COM_DTGRT,pData.commodityValues,value
COM_DTGTP,pData.commodityValues,value
COM_EGGS,pData.commodityValues,value
COM_FEDFU,pData.commodityValues,value
COM_FE_TJN,pData.commodityValues,value
COM_FUELOIL,pData.commodityValues,value
COM_GAS_CR,pData.commodityValues,value
COM_GREASE,pData.commodityValues,value
COM_HIDES,pData.commodityValues,value
COM_HOGS,pData.commodityValues,value
COM_HOMINY,pData.commodityValues,value
COM_ITRXEUC,pData.commodityValues,value
COM_MCDX,pData.commodityValues,value
COM_MILK,pData.commodityValues,value
COM_OATS,pData.commodityValues,value
COM_OIL_BRENT,pData.commodityValues,value
COM_OIL_WTI,pData.commodityValues,value
COM_PA_EFP,pData.commodityValues,value
COM_PL_EFP,pData.commodityValues,value
COM_PL_EIB,pData.commodityValues,value
COM_RICE_2,pData.commodityValues,value
COM_SORGHUM,pData.commodityValues,value
COM_SOYB_1,pData.commodityValues,value
COM_SOYB_MEAL,pData.commodityValues,value
COM_SOYB_OIL,pData.commodityValues,value
COM_TALLOW_B,pData.commodityValues,value
COM_WHEAT_2,pData.commodityValues,value
COM_WHEAT_KC,pData.commodityValues,value
COM_WHEAT_MN,pData.commodityValues,value
FRED_DFF,pData.rateValues,value
FRED_DGS10,pData.rateValues,value
FRED_DGS30,pData.rateValues,value
FRED_DGS5,pData.rateValues,value
FRED_DPRIME,pData.rateValues,value
FRED_DTB3,pData.rateValues,value
FRED_T10YIE,pData.rateValues,value
FRED_T5YIE,pData.rateValues,value
FRED_T5YIFR,pData.rateValues,value
FRED_TEDRATE,pData.rateValues,value
OPEC_ORB,pData.commodityValues,value
RICI_RICI,pData.commodityValues,value
RICI_RICIA,pData.commodityValues,value
RICI_RICIE,pData.commodityValues,value
RICI_RICIM,pData.commodityValues,value
